date,cpo_pri
5/1/21,1136.46
6/1/21,1004.42
7/1/21,1062.99
8/1/21,1141.82
9/1/21,1181.38
10/1/21,1310.25
11/1/21,1340.65
12/1/21,1270.29
1/1/22,1344.79
2/1/22,1522.36
3/1/22,1776.96
4/1/22,1682.74
5/1/22,1716.92
6/1/22,1501.1
7/1/22,1056.64
8/1/22,1025.95
9/1/22,909.32
10/1/22,888.99
11/1/22,945.74
12/1/22,940.39
1/1/23,941.97
2/1/23,949.98
3/1/23,972.06
